contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price
AMZN180420C00620000,2018-01-25 3:11PM EST,620.00,750.00,782.25,786.75
AMZN180420C00640000,2018-01-16 10:06AM EST,640.00,688.40,656.00,660.70
AMZN180420C00660000,2018-01-16 3:08PM EST,660.00,653.10,636.00,640.80
AMZN180420C00680000,2018-02-01 3:36PM EST,680.00,716.60,778.45,783.45
AMZN180420C00700000,2017-12-29 12:42PM EST,700.00,483.52,473.00,477.50
AMZN180420C00720000,2018-02-01 3:45PM EST,720.00,685.00,738.65,743.65
AMZN180420C00740000,2017-09-15 10:52PM EST,740.00,269.35,253.95,257.60
AMZN180420C00760000,2017-11-29 3:26PM EST,760.00,406.68,406.70,411.45
AMZN180420C00780000,2018-01-31 10:54AM EST,780.00,687.95,673.60,678.60
AMZN180420C00800000,2018-01-02 9:55AM EST,800.00,385.45,432.60,435.95
AMZN180420C00820000,2017-08-25 10:57PM EST,820.00,169.40,183.15,186.90
AMZN180420C00835000,2017-12-01 9:49AM EST,835.00,345.25,335.60,340.50
AMZN180420C00840000,2018-01-09 1:51PM EST,840.00,416.05,468.95,472.05
AMZN180420C00845000,2017-11-28 1:52PM EST,845.00,360.00,324.75,329.50
AMZN180420C00860000,2018-02-02 9:43AM EST,860.00,623.00,597.05,604.95
AMZN180420C00870000,2017-10-10 9:42AM EST,870.00,330.75,306.40,310.75
AMZN180420C00875000,2018-02-01 10:31AM EST,875.00,556.70,582.20,590.10
AMZN180420C00880000,2017-12-29 10:02AM EST,880.00,308.06,296.60,301.50
AMZN180420C00885000,2018-01-09 3:03PM EST,885.00,376.50,424.55,427.60
AMZN180420C00890000,2017-10-10 9:42AM EST,890.00,136.15,129.15,132.15
AMZN180420C00895000,2018-01-29 10:31AM EST,895.00,524.50,565.00,570.00
AMZN180420C00900000,2018-01-24 2:59PM EST,900.00,471.84,504.65,509.05
AMZN180420C00905000,2017-10-30 9:34AM EST,905.00,236.00,223.15,226.80
AMZN180420C00910000,2017-12-08 11:32AM EST,910.00,271.50,264.60,268.65
AMZN180420C00915000,2017-10-27 1:21PM EST,915.00,206.35,206.00,210.35
AMZN180420C00920000,2018-01-16 3:02PM EST,920.00,389.86,379.50,383.95
AMZN180420C00925000,2018-01-11 2:20PM EST,925.00,350.50,385.20,388.25
AMZN180420C00930000,2017-12-07 9:31AM EST,930.00,476.27,475.10,479.50
AMZN180420C00935000,2018-01-23 10:01AM EST,935.00,471.37,470.35,474.60
AMZN180420C00940000,2018-01-23 3:07PM EST,940.00,424.34,465.25,469.65
AMZN180420C00945000,2018-01-16 11:54AM EST,945.00,383.40,355.00,359.50
AMZN180420C00950000,2018-01-23 3:07PM EST,950.00,414.50,455.50,459.80
AMZN180420C00955000,2018-01-24 10:15AM EST,955.00,425.75,450.55,454.90
AMZN180420C00960000,2018-01-17 12:37PM EST,960.00,344.70,340.50,345.00
AMZN180420C00965000,2018-02-02 9:43AM EST,965.00,515.30,495.85,501.10
AMZN180420C00970000,2018-02-01 10:54AM EST,970.00,476.05,490.90,495.90
AMZN180420C00975000,2018-02-02 9:43AM EST,975.00,505.80,485.00,491.20
AMZN180420C00980000,2018-01-30 9:40AM EST,980.00,435.55,474.85,479.85
AMZN180420C00985000,2018-01-29 10:13AM EST,985.00,436.70,469.90,474.90
AMZN180420C00990000,2018-01-12 1:36PM EST,990.00,322.14,321.75,324.75
AMZN180420C00995000,2018-01-17 10:29AM EST,995.00,360.00,411.50,415.80
AMZN180420C01000000,2018-02-02 9:57AM EST,1000.00,464.00,459.30,466.60
AMZN180420C01005000,2018-02-02 9:50AM EST,1005.00,452.88,450.20,455.20
AMZN180420C01010000,2018-01-31 10:23AM EST,1010.00,459.78,451.55,456.55
AMZN180420C01015000,2018-01-31 12:29PM EST,1015.00,455.63,446.55,451.55
AMZN180420C01020000,2018-01-31 10:23AM EST,1020.00,450.09,440.80,446.95
AMZN180420C01025000,2018-01-30 12:30PM EST,1025.00,409.80,435.55,442.05
AMZN180420C01030000,2018-02-02 9:43AM EST,1030.00,451.40,431.85,436.85
AMZN180420C01035000,2017-12-07 3:40PM EST,1035.00,158.50,157.95,160.65
AMZN180420C01040000,2018-01-24 1:47PM EST,1040.00,322.40,368.00,372.30
AMZN180420C01045000,2018-02-01 3:31PM EST,1045.00,373.88,416.35,422.45
AMZN180420C01050000,2018-01-30 1:07PM EST,1050.00,379.00,410.35,417.55
AMZN180420C01055000,2018-01-24 1:03PM EST,1055.00,309.00,353.55,357.90
AMZN180420C01060000,2018-02-02 9:37AM EST,1060.00,442.60,401.65,407.80
AMZN180420C01065000,2018-01-17 12:55PM EST,1065.00,245.78,240.50,245.40
AMZN180420C01070000,2018-02-01 3:40PM EST,1070.00,331.92,391.90,398.05
AMZN180420C01075000,2018-01-29 10:07AM EST,1075.00,350.00,386.95,393.20
AMZN180420C01080000,2018-02-02 9:52AM EST,1080.00,371.10,382.25,388.35
AMZN180420C01100000,2018-02-02 9:41AM EST,1100.00,388.10,363.05,368.05
AMZN180420C01120000,2018-02-01 3:39PM EST,1120.00,282.95,339.25,344.25
AMZN180420C01140000,2018-02-02 9:49AM EST,1140.00,322.33,325.65,330.65
AMZN180420C01160000,2018-02-02 9:41AM EST,1160.00,327.45,301.10,306.10
AMZN180420C01180000,2018-02-01 3:21PM EST,1180.00,259.63,287.30,293.15
AMZN180420C01200000,2018-02-02 9:44AM EST,1200.00,286.00,268.85,274.75
AMZN180420C01220000,2018-02-02 9:48AM EST,1220.00,256.25,250.75,256.70
AMZN180420C01240000,2018-02-01 3:36PM EST,1240.00,186.28,233.95,238.95
AMZN180420C01260000,2018-02-02 9:41AM EST,1260.00,234.80,212.00,216.95
AMZN180420C01280000,2018-02-02 9:54AM EST,1280.00,200.45,195.40,200.40
AMZN180420C01300000,2018-02-02 9:56AM EST,1300.00,188.45,183.60,188.60
AMZN180420C01320000,2018-02-02 9:52AM EST,1320.00,156.88,163.30,168.30
AMZN180420C01340000,2018-02-02 9:50AM EST,1340.00,150.00,152.50,157.25
AMZN180420C01360000,2018-02-02 9:50AM EST,1360.00,133.98,135.00,139.70
AMZN180420C01380000,2018-02-02 9:53AM EST,1380.00,122.75,125.85,129.80
AMZN180420C01400000,2018-02-02 9:55AM EST,1400.00,112.88,114.65,117.60
AMZN180420C01420000,2018-02-02 9:52AM EST,1420.00,93.88,101.65,105.60
AMZN180420C01440000,2018-02-02 9:57AM EST,1440.00,92.80,92.05,95.25
AMZN180420C01460000,2018-02-02 9:54AM EST,1460.00,81.00,77.75,80.30
AMZN180420C01480000,2018-02-02 9:54AM EST,1480.00,72.56,68.65,71.80
AMZN180420C01500000,2018-02-02 9:55AM EST,1500.00,65.00,63.00,65.55
AMZN180420C01520000,2018-02-02 9:41AM EST,1520.00,65.15,55.35,58.60
AMZN180420C01540000,2018-02-02 9:40AM EST,1540.00,61.62,47.00,49.35
AMZN180420C01560000,2018-02-02 9:55AM EST,1560.00,42.50,41.95,44.10
AMZN180420C01580000,2018-02-02 9:49AM EST,1580.00,37.25,37.25,39.60
AMZN180420C01600000,2018-02-02 9:55AM EST,1600.00,33.00,30.30,33.00
AMZN180420C01620000,2018-02-02 9:51AM EST,1620.00,27.69,27.45,30.00
AMZN180420C01640000,2018-02-02 9:54AM EST,1640.00,23.55,24.45,26.25
AMZN180420C01660000,2018-02-02 9:39AM EST,1660.00,27.72,20.80,23.10
AMZN180420C01680000,2018-02-01 3:36PM EST,1680.00,14.50,18.00,19.75
AMZN180420C01700000,2018-02-02 9:54AM EST,1700.00,17.60,15.95,17.65
AMZN180420C01720000,2018-02-02 9:47AM EST,1720.00,15.84,13.50,15.15
AMZN180420C01740000,2018-02-02 9:34AM EST,1740.00,13.65,11.35,13.35
AMZN180420C01760000,2018-02-02 9:45AM EST,1760.00,12.56,10.10,11.75
AMZN180420C01780000,2018-02-02 9:45AM EST,1780.00,10.60,9.20,10.55
AMZN180420C01800000,2018-02-02 9:45AM EST,1800.00,9.30,8.00,9.05
AMZN180420C01820000,2018-02-02 9:51AM EST,1820.00,8.19,6.80,8.55
AMZN180420C01840000,2018-02-02 9:51AM EST,1840.00,6.60,6.00,7.45
AMZN180420C01860000,2018-02-02 9:51AM EST,1860.00,7.15,5.35,6.40
AMZN180420C01880000,2018-02-02 9:51AM EST,1880.00,5.00,4.65,6.10
AMZN180420C01900000,2018-02-02 9:56AM EST,1900.00,4.50,4.10,5.15
AMZN180420C01920000,2018-02-02 9:51AM EST,1920.00,4.75,3.75,4.60
AMZN180420C01940000,2018-02-02 9:51AM EST,1940.00,4.70,3.35,4.15
AMZN180420C01960000,2018-02-02 9:51AM EST,1960.00,3.90,2.90,4.10
AMZN180420C01980000,2018-02-02 9:51AM EST,1980.00,2.66,2.56,3.40
AMZN180420C02000000,2018-02-02 9:51AM EST,2000.00,2.36,2.18,3.40
AMZN180420C00620000,2018-01-25 3:11PM EST,620.00,750.00,782.25,786.75
AMZN180420C00640000,2018-01-16 10:06AM EST,640.00,688.40,656.00,660.70
AMZN180420C00660000,2018-01-16 3:08PM EST,660.00,653.10,636.00,640.80
AMZN180420C00680000,2018-02-01 3:36PM EST,680.00,716.60,778.45,783.45
AMZN180420C00700000,2017-12-29 12:42PM EST,700.00,483.52,473.00,477.50
AMZN180420C00720000,2018-02-01 3:45PM EST,720.00,685.00,738.65,743.65
AMZN180420C00740000,2017-09-15 10:52PM EST,740.00,269.35,253.95,257.60
AMZN180420C00760000,2017-11-29 3:26PM EST,760.00,406.68,406.70,411.45
AMZN180420C00780000,2018-01-31 10:54AM EST,780.00,687.95,673.60,678.60
AMZN180420C00800000,2018-01-02 9:55AM EST,800.00,385.45,432.60,435.95
AMZN180420C00820000,2017-08-25 10:57PM EST,820.00,169.40,183.15,186.90
AMZN180420C00835000,2017-12-01 9:49AM EST,835.00,345.25,335.60,340.50
AMZN180420C00840000,2018-01-09 1:51PM EST,840.00,416.05,468.95,472.05
AMZN180420C00845000,2017-11-28 1:52PM EST,845.00,360.00,324.75,329.50
AMZN180420C00860000,2018-02-02 9:43AM EST,860.00,623.00,597.05,604.95
AMZN180420C00870000,2017-10-10 9:42AM EST,870.00,330.75,306.40,310.75
AMZN180420C00875000,2018-02-01 10:31AM EST,875.00,556.70,582.20,590.10
AMZN180420C00880000,2017-12-29 10:02AM EST,880.00,308.06,296.60,301.50
AMZN180420C00885000,2018-01-09 3:03PM EST,885.00,376.50,424.55,427.60
AMZN180420C00890000,2017-10-10 9:42AM EST,890.00,136.15,129.15,132.15
AMZN180420C00895000,2018-01-29 10:31AM EST,895.00,524.50,565.00,570.00
AMZN180420C00900000,2018-01-24 2:59PM EST,900.00,471.84,504.65,509.05
AMZN180420C00905000,2017-10-30 9:34AM EST,905.00,236.00,223.15,226.80
AMZN180420C00910000,2017-12-08 11:32AM EST,910.00,271.50,264.60,268.65
AMZN180420C00915000,2017-10-27 1:21PM EST,915.00,206.35,206.00,210.35
AMZN180420C00920000,2018-01-16 3:02PM EST,920.00,389.86,379.50,383.95
AMZN180420C00925000,2018-01-11 2:20PM EST,925.00,350.50,385.20,388.25
AMZN180420C00930000,2017-12-07 9:31AM EST,930.00,476.27,475.10,479.50
AMZN180420C00935000,2018-01-23 10:01AM EST,935.00,471.37,470.35,474.60
AMZN180420C00940000,2018-01-23 3:07PM EST,940.00,424.34,465.25,469.65
AMZN180420C00945000,2018-01-16 11:54AM EST,945.00,383.40,355.00,359.50
AMZN180420C00950000,2018-01-23 3:07PM EST,950.00,414.50,455.50,459.80
AMZN180420C00955000,2018-01-24 10:15AM EST,955.00,425.75,450.55,454.90
AMZN180420C00960000,2018-01-17 12:37PM EST,960.00,344.70,340.50,345.00
AMZN180420C00965000,2018-02-02 9:43AM EST,965.00,515.30,495.85,501.10
AMZN180420C00970000,2018-02-01 10:54AM EST,970.00,476.05,490.90,495.90
AMZN180420C00975000,2018-02-02 9:43AM EST,975.00,505.80,485.00,491.20
AMZN180420C00980000,2018-01-30 9:40AM EST,980.00,435.55,474.85,479.85
AMZN180420C00985000,2018-01-29 10:13AM EST,985.00,436.70,469.90,474.90
AMZN180420C00990000,2018-01-12 1:36PM EST,990.00,322.14,321.75,324.75
AMZN180420C00995000,2018-01-17 10:29AM EST,995.00,360.00,411.50,415.80
AMZN180420C01000000,2018-02-02 9:57AM EST,1000.00,464.00,459.30,466.60
AMZN180420C01005000,2018-02-02 9:50AM EST,1005.00,452.88,450.20,455.20
AMZN180420C01010000,2018-01-31 10:23AM EST,1010.00,459.78,451.55,456.55
AMZN180420C01015000,2018-01-31 12:29PM EST,1015.00,455.63,446.55,451.55
AMZN180420C01020000,2018-01-31 10:23AM EST,1020.00,450.09,440.80,446.95
AMZN180420C01025000,2018-01-30 12:30PM EST,1025.00,409.80,435.55,442.05
AMZN180420C01030000,2018-02-02 9:43AM EST,1030.00,451.40,431.85,436.85
AMZN180420C01035000,2017-12-07 3:40PM EST,1035.00,158.50,157.95,160.65
AMZN180420C01040000,2018-01-24 1:47PM EST,1040.00,322.40,368.00,372.30
AMZN180420C01045000,2018-02-01 3:31PM EST,1045.00,373.88,416.35,422.45
AMZN180420C01050000,2018-01-30 1:07PM EST,1050.00,379.00,410.35,417.55
AMZN180420C01055000,2018-01-24 1:03PM EST,1055.00,309.00,353.55,357.90
AMZN180420C01060000,2018-02-02 9:37AM EST,1060.00,442.60,401.65,407.80
AMZN180420C01065000,2018-01-17 12:55PM EST,1065.00,245.78,240.50,245.40
AMZN180420C01070000,2018-02-01 3:40PM EST,1070.00,331.92,391.90,398.05
AMZN180420C01075000,2018-01-29 10:07AM EST,1075.00,350.00,386.95,393.20
AMZN180420C01080000,2018-02-02 9:52AM EST,1080.00,371.10,382.25,388.35
AMZN180420C01100000,2018-02-02 9:41AM EST,1100.00,388.10,363.05,368.05
AMZN180420C01120000,2018-02-01 3:39PM EST,1120.00,282.95,339.25,344.25
AMZN180420C01140000,2018-02-02 9:49AM EST,1140.00,322.33,325.65,330.65
AMZN180420C01160000,2018-02-02 9:41AM EST,1160.00,327.45,301.10,306.10
AMZN180420C01180000,2018-02-01 3:21PM EST,1180.00,259.63,287.30,293.15
AMZN180420C01200000,2018-02-02 9:44AM EST,1200.00,286.00,268.85,274.75
AMZN180420C01220000,2018-02-02 9:48AM EST,1220.00,256.25,250.75,256.70
AMZN180420C01240000,2018-02-01 3:36PM EST,1240.00,186.28,233.95,238.95
AMZN180420C01260000,2018-02-02 9:41AM EST,1260.00,234.80,212.00,216.95
AMZN180420C01280000,2018-02-02 9:54AM EST,1280.00,200.45,195.40,200.40
AMZN180420C01300000,2018-02-02 9:56AM EST,1300.00,188.45,183.60,188.60
AMZN180420C01320000,2018-02-02 9:52AM EST,1320.00,156.88,163.30,168.30
AMZN180420C01340000,2018-02-02 9:50AM EST,1340.00,150.00,152.50,157.25
AMZN180420C01360000,2018-02-02 9:50AM EST,1360.00,133.98,135.00,139.70
AMZN180420C01380000,2018-02-02 9:53AM EST,1380.00,122.75,125.85,129.80
AMZN180420C01400000,2018-02-02 9:55AM EST,1400.00,112.88,114.65,117.60
AMZN180420C01420000,2018-02-02 9:52AM EST,1420.00,93.88,101.65,105.60
AMZN180420C01440000,2018-02-02 9:57AM EST,1440.00,92.80,92.05,95.25
AMZN180420C01460000,2018-02-02 9:54AM EST,1460.00,81.00,77.75,80.30
AMZN180420C01480000,2018-02-02 9:54AM EST,1480.00,72.56,68.65,71.80
AMZN180420C01500000,2018-02-02 9:55AM EST,1500.00,65.00,63.00,65.55
AMZN180420C01520000,2018-02-02 9:41AM EST,1520.00,65.15,55.35,58.60
AMZN180420C01540000,2018-02-02 9:40AM EST,1540.00,61.62,47.00,49.35
AMZN180420C01560000,2018-02-02 9:55AM EST,1560.00,42.50,41.95,44.10
AMZN180420C01580000,2018-02-02 9:49AM EST,1580.00,37.25,37.25,39.60
AMZN180420C01600000,2018-02-02 9:55AM EST,1600.00,33.00,30.30,33.00
AMZN180420C01620000,2018-02-02 9:51AM EST,1620.00,27.69,27.45,30.00
AMZN180420C01640000,2018-02-02 9:54AM EST,1640.00,23.55,24.45,26.25
AMZN180420C01660000,2018-02-02 9:39AM EST,1660.00,27.72,20.80,23.10
AMZN180420C01680000,2018-02-01 3:36PM EST,1680.00,14.50,18.00,19.75
AMZN180420C01700000,2018-02-02 9:54AM EST,1700.00,17.60,15.95,17.65
AMZN180420C01720000,2018-02-02 9:47AM EST,1720.00,15.84,13.50,15.15
AMZN180420C01740000,2018-02-02 9:34AM EST,1740.00,13.65,11.35,13.35
AMZN180420C01760000,2018-02-02 9:45AM EST,1760.00,12.56,10.10,11.75
AMZN180420C01780000,2018-02-02 9:45AM EST,1780.00,10.60,9.20,10.55
AMZN180420C01800000,2018-02-02 9:45AM EST,1800.00,9.30,8.00,9.05
AMZN180420C01820000,2018-02-02 9:51AM EST,1820.00,8.19,6.80,8.55
AMZN180420C01840000,2018-02-02 9:51AM EST,1840.00,6.60,6.00,7.45
AMZN180420C01860000,2018-02-02 9:51AM EST,1860.00,7.15,5.35,6.40
AMZN180420C01880000,2018-02-02 9:51AM EST,1880.00,5.00,4.65,6.10
AMZN180420C01900000,2018-02-02 9:56AM EST,1900.00,4.50,4.10,5.15
AMZN180420C01920000,2018-02-02 9:51AM EST,1920.00,4.75,3.75,4.60
AMZN180420C01940000,2018-02-02 9:51AM EST,1940.00,4.70,3.35,4.15
AMZN180420C01960000,2018-02-02 9:51AM EST,1960.00,3.90,2.90,4.10
AMZN180420C01980000,2018-02-02 9:51AM EST,1980.00,2.66,2.56,3.40
AMZN180420C02000000,2018-02-02 9:51AM EST,2000.00,2.36,2.18,3.40
